time,promoter_35S,promoter_19S,gene_P5,gene_P4,gene_P6,gene_P1,untracked_large,gene_P3,gene_P2
10376.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10377.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10378.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10379.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10380.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10381.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10382.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10383.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10384.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10385.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10386.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10387.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10388.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10389.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10390.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10391.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10392.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10393.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10394.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10395.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10396.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10397.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10398.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10399.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10400.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10401.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10402.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10403.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10404.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10405.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10406.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10407.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10408.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10409.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10410.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10411.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10412.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10413.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10414.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10415.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10416.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10417.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10418.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10419.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10420.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10421.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10422.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10423.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10424.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10425.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10426.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10427.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10428.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10429.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10430.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10431.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10432.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10433.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10434.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10435.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10436.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10437.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10438.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10439.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10440.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10441.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10442.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10443.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10444.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10445.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10446.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10447.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10448.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10449.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10450.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10451.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10452.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10453.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10454.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10455.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10456.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10457.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10458.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10459.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10460.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10461.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10462.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10463.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10464.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10465.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10466.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10467.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10468.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10469.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10470.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10471.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10472.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10473.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10474.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10475.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10476.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10477.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10478.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10479.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10480.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10481.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10482.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10483.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10484.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10485.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10486.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10487.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10488.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10489.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10490.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10491.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10492.0,1000,1000,1000,1000,311,1000,1000,1000,1000
10493.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10494.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10495.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10496.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10497.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10498.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10499.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10500.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10501.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10502.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10503.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10504.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10505.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10506.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10507.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10508.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10509.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10510.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10511.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10512.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10513.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10514.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10515.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10516.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10517.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10518.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10519.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10520.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10521.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10522.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10523.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10524.0,1000,1000,1000,1000,310,1000,1000,1000,1000
