"time_h","gene_P6","fit_P6"
0,1,1
0.000277777777777778,1,0.999894001734768
0.000555555555555556,1,0.999788014705168
0.000833333333333333,1,0.99968203891001
0.00111111111111111,1,0.999576074348102
0.00138888888888889,1,0.999470121018253
0.00166666666666667,1,0.999364178919274
0.00194444444444444,1,0.999258248049974
0.00222222222222222,1,0.999152328409162
0.0025,1,0.999046419995648
0.00277777777777778,1,0.998940522808242
0.00305555555555556,1,0.998834636845754
0.00333333333333333,1,0.998728762106995
0.00361111111111111,1,0.998622898590774
0.00388888888888889,1,0.998517046295903
0.00416666666666667,1,0.998411205221191
0.00444444444444444,1,0.998305375365449
0.00472222222222222,1,0.998199556727489
0.005,1,0.99809374930612
0.00527777777777778,1,0.997987953100155
0.00555555555555556,1,0.997882168108404
0.00583333333333333,1,0.997776394329678
0.00611111111111111,1,0.99767063176279
0.00638888888888889,1,0.99756488040655
0.00666666666666667,1,0.997459140259771
0.00694444444444444,1,0.997353411321263
0.00722222222222222,1,0.99724769358984
0.0075,1,0.997141987064313
0.00777777777777778,1,0.997036291743494
0.00805555555555556,1,0.996930607626196
0.00833333333333333,1,0.996824934711231
0.00861111111111111,1,0.996719272997412
0.00888888888888889,1,0.996613622483551
0.00916666666666667,1,0.996507983168461
0.00944444444444444,0.999,0.996402355050955
0.00972222222222222,0.999,0.996296738129847
0.01,0.999,0.996191132403948
0.0102777777777778,0.999,0.996085537872074
0.0105555555555556,0.999,0.995979954533037
0.0108333333333333,0.999,0.995874382385651
0.0111111111111111,0.999,0.995768821428729
0.0113888888888889,0.999,0.995663271661085
0.0116666666666667,0.999,0.995557733081534
0.0119444444444444,0.999,0.995452205688889
0.0122222222222222,0.999,0.995346689481965
0.0125,0.999,0.995241184459575
0.0127777777777778,0.999,0.995135690620535
0.0130555555555556,0.999,0.995030207963659
0.0133333333333333,0.999,0.994924736487761
0.0136111111111111,0.999,0.994819276191657
0.0138888888888889,0.999,0.994713827074161
0.0141666666666667,0.999,0.994608389134089
0.0144444444444444,0.999,0.994502962370256
0.0147222222222222,0.999,0.994397546781476
0.015,0.999,0.994292142366567
0.0152777777777778,0.999,0.994186749124342
0.0155555555555556,0.999,0.994081367053618
0.0158333333333333,0.999,0.993975996153211
0.0161111111111111,0.999,0.993870636421936
0.0163888888888889,0.999,0.993765287858611
0.0166666666666667,0.999,0.99365995046205
0.0169444444444444,0.999,0.99355462423107
0.0172222222222222,0.999,0.993449309164489
0.0175,0.999,0.993344005261121
0.0177777777777778,0.999,0.993238712519785
0.0180555555555556,0.999,0.993133430939297
0.0183333333333333,0.999,0.993028160518473
0.0186111111111111,0.999,0.992922901256132
0.0188888888888889,0.999,0.992817653151089
0.0191666666666667,0.999,0.992712416202164
0.0194444444444444,0.999,0.992607190408172
0.0197222222222222,0.999,0.992501975767932
0.02,0.999,0.992396772280261
0.0202777777777778,0.999,0.992291579943978
0.0205555555555556,0.999,0.992186398757899
0.0208333333333333,0.999,0.992081228720844
0.0211111111111111,0.999,0.99197606983163
0.0213888888888889,0.999,0.991870922089077
0.0216666666666667,0.999,0.991765785492001
0.0219444444444444,0.998,0.991660660039222
0.0222222222222222,0.998,0.99155554572956
0.0225,0.998,0.991450442561831
0.0227777777777778,0.998,0.991345350534856
0.0230555555555556,0.998,0.991240269647453
0.0233333333333333,0.998,0.991135199898443
0.0236111111111111,0.998,0.991030141286643
0.0238888888888889,0.998,0.990925093810874
0.0241666666666667,0.998,0.990820057469955
0.0244444444444444,0.998,0.990715032262706
0.0247222222222222,0.998,0.990610018187947
0.025,0.998,0.990505015244498
0.0252777777777778,0.998,0.990400023431178
0.0255555555555556,0.998,0.990295042746809
0.0258333333333333,0.998,0.99019007319021
0.0261111111111111,0.998,0.990085114760202
0.0263888888888889,0.998,0.989980167455605
0.0266666666666667,0.998,0.989875231275241
0.0269444444444444,0.998,0.989770306217929
0.0272222222222222,0.998,0.989665392282492
0.0275,0.998,0.98956048946775
0.0277777777777778,0.998,0.989455597772524
0.0280555555555556,0.998,0.989350717195636
0.0283333333333333,0.998,0.989245847735908
0.0286111111111111,0.998,0.98914098939216
0.0288888888888889,0.998,0.989036142163214
0.0291666666666667,0.998,0.988931306047893
0.0294444444444444,0.998,0.988826481045018
0.0297222222222222,0.998,0.988721667153412
0.03,0.998,0.988616864371897
0.0302777777777778,0.998,0.988512072699294
0.0305555555555556,0.998,0.988407292134427
0.0308333333333333,0.998,0.988302522676118
0.0311111111111111,0.998,0.98819776432319
0.0313888888888889,0.998,0.988093017074466
0.0316666666666667,0.998,0.987988280928768
0.0319444444444444,0.998,0.98788355588492
0.0322222222222222,0.998,0.987778841941745
0.0325,0.998,0.987674139098066
0.0327777777777778,0.998,0.987569447352707
0.0330555555555556,0.998,0.987464766704492
0.0333333333333333,0.998,0.987360097152243
0.0336111111111111,0.998,0.987255438694786
0.0338888888888889,0.998,0.987150791330944
0.0341666666666667,0.998,0.98704615505954
0.0344444444444444,0.998,0.9869415298794
0.0347222222222222,0.998,0.986836915789347
0.035,0.998,0.986732312788207
0.0352777777777778,0.998,0.986627720874803
0.0355555555555556,0.998,0.98652314004796
0.0358333333333333,0.997,0.986418570306504
0.0361111111111111,0.997,0.986314011649259
0.0363888888888889,0.997,0.98620946407505
0.0366666666666667,0.997,0.986104927582703
0.0369444444444444,0.997,0.986000402171042
0.0372222222222222,0.997,0.985895887838894
0.0375,0.997,0.985791384585084
0.0377777777777778,0.997,0.985686892408437
0.0380555555555556,0.997,0.98558241130778
0.0383333333333333,0.997,0.985477941281938
