team_year,track,region
Warsaw_2011,Foundational Advance,Europe
Wageningen_UR_2011,Foundational Advance,Europe
UTP-Poland_2011,Undefined,Europe
UTP-Poland_2011,Undefined,Europe
UNIPV-Pavia_2011,Information Processing,Europe
Uppsala-Sweden_2011,New Application,Europe
UPO-Sevilla_2011,New Application,Europe
UNITS_Trieste_2011,New Application,Europe
ULB-Brussels_2011,Foundational Advance,Europe
UEA-JIC_Norwich_2011,New Application,Europe
UCL_London_2011,Manufacturing,Europe
TU-Delft_2011,New Application,Europe
St_Andrews_2011,Health & Medicine,Europe
TU_Munich_2011,Manufacturing,Europe
Strathclyde_Glasgow_2011,Undefined,Europe
Sevilla_2011,Foundational Advance,Europe
NTNU_Trondheim_2011,New Application,Europe
Potsdam_Bioware_2011,Health & Medicine,Europe
Nairobi_2011,Undefined,Europe
Paris_Bettencourt_2011,Foundational Advance,Europe
METU_Turkey_SoftLab_2011,Undefined,Europe
METU-BIN_Ankara_2011,Software Tools,Europe
METU-Ankara_2011,Environment,Europe
Lyon-INSA-ENS_2011,Environment,Europe
LMU-Munich_2011,Environment,Europe
KULeuven_2011,Environment,Europe
Imperial_College_London_2011,Environment,Europe
HU-Micro_2011,Undefined,Europe
Groningen_2011,Information Processing,Europe
Grenoble_2011,Environment,Europe
Freiburg_2011,Foundational Advance,Europe
Glasgow_2011,Manufacturing,Europe
Fatih_Turkey_2011,New Application,Europe
EPF-Lausanne_2011,Foundational Advance,Europe
ENSPS-Strasbourg_2011,Software Tools,Europe
ETH_Zurich_2011,Information Processing,Europe
Edinburgh_2011,Food & Energy,Europe
Dundee_2011,Foundational Advance,Europe
DTU-Denmark-2_2011,Foundational Advance,Europe
DTU-Denmark_2011,Foundational Advance,Europe
Debrecen_Hungary_2011,Food & Energy,Europe
CongoDRC-Bel_Campus_2011,Undefined,Europe
Copenhagen_2011,Manufacturing,Europe
Cambridge_2011,Foundational Advance,Europe
BCCS-Bristol_2011,Software Tools,Europe
Bielefeld-Germany_2011,Manufacturing,Europe
Bilkent_UNAM_Turkey_2011,Environment,Europe
Amsterdam_2011,Foundational Advance,Europe
ZJU-China_2011,New Application,Asia
XMU-China_2011,Manufacturing,Asia
Waseda-Japan_2011,Undefined,Asia
WHU-China_2011,Foundational Advance,Asia
VIT_Vellore_2011,Health & Medicine,Asia
UT-Tokyo_2011,Manufacturing,Asia
USTC-Software_2011,Software Tools,Asia
USTC-China_2011,Foundational Advance,Asia
UST-Beijing_2011,Food & Energy,Asia
UQ-Australia_2011,Foundational Advance,Asia
UNIST_Korea_2011,Environment,Asia
TzuChiU_Formosa_2011,Manufacturing,Asia
Tsinghua-A_2011,Foundational Advance,Asia
Tsinghua_2011,Information Processing,Asia
Tokyo_Metropolitan_2011,Health & Medicine,Asia
Tokyo_Tech_2011,New Application,Asia
Tokyo-NoKoGen_2011,Environment,Asia
Tianjin_2011,Food & Energy,Asia
Rajasthan_2011,Undefined,Asia
SYSU-China_2011,Environment,Asia
Peking_S_2011,Information Processing,Asia
Rajasthan_2011,Undefined,Asia
Peking_R_2011,New Application,Asia
OUC-China_2011,Information Processing,Asia
Osaka_2011,Environment,Asia
Nanjing_2011,Undefined,Asia
NCTU_Formosa_2011,New Application,Asia
NYMU-Taipei_2011,New Application,Asia
Macquarie_Australia_2011,New Application,Asia
Kyoto_2011,New Application,Asia
Korea_U_Seoul_2011,Food & Energy,Asia
KIT-Kyoto_2011,Health & Medicine,Asia
KAIT_Japan_2011,Foundational Advance,Asia
KAIST-Korea_2011,New Application,Asia
HUST-China_2011,Software Tools,Asia
IIT_Madras_2011,New Application,Asia
HSU_2011,Undefined,Asia
Hong_Kong-CUHK_2011,Foundational Advance,Asia
HokkaidoU_Japan_2011,New Application,Asia
HKU-Hong_Kong_2011,New Application,Asia
HKUST-Hong_Kong_2011,New Application,Asia
Fudan-Shanghai_2011,New Application,Asia
Fudan-Shanghai_2011,New Application,Asia
CTGU-Yichang_2011,Undefined,Asia
CBNU-Korea_2011,Software Tools,Asia
Yale_2011,Food & Energy,Americas
ArtScienceBangalore_2011,Environment,Asia
Wisconsin-Madison_2011,Environment,Americas
West_Point_2011,Health & Medicine,Americas
Waterloo_2011,Foundational Advance,Americas
WashU_2011,Food & Energy,Americas
Washington_2011,Food & Energy,Americas
Virginia_2011,Health & Medicine,Americas
Virginia_Tech_2011,Foundational Advance,Americas
VCU_2011,Foundational Advance,Americas
UT_Dallas_2011,Health & Medicine,Americas
UTP-Panama_2011,Food & Energy,Americas
USC_2011,Foundational Advance,Americas
Utah_State_2011,Manufacturing,Americas
uOttawa_2011,Foundational Advance,Americas
UNICAMP-EMSE_Brazil_2011,Health & Medicine,Americas
UNAM-ITESM_Mexico_City_2011,Undefined,Americas
UNAM-Genomics_Mexico_2011,Food & Energy,Americas
UIUC-Illinois_2011,New Application,Americas
UC_Davis_2011,Foundational Advance,Americas
UCSF_2011,Health & Medicine,Americas
UANL_Mty-Mexico_2011,Information Processing,Americas
TorontoMaRSDiscovery_2011,Undefined,Americas
Toronto_2011,New Application,Americas
Tec-Monterrey_2011,Food & Energy,Americas
Rutgers_2011,Information Processing,Americas
Purdue_2011,Undefined,Americas
Queens_Canada_2011,Environment,Americas
Penn_State_2011,Environment,Americas
Penn_2011,Foundational Advance,Americas
Panama_2011,Environment,Americas
NYC_Wetware_2011,Environment,Americas
NYC_Software_2011,Software Tools,Americas
Northwestern_2011,Health & Medicine,Americas
Nevada_2011,Food & Energy,Americas
MIT_2011,Health & Medicine,Americas
Michigan_2011,New Application,Americas
Missouri_Miners_2011,Health & Medicine,Americas
Minnesota_2011,Manufacturing,Americas
McGill_2011,Undefined,Americas
Johns_Hopkins_2011,Food & Energy,Americas
Lethbridge_2011,Environment,Americas
IvyTech-South_Bend_2011,Undefined,Americas
ITESM_Mexico_2011,Environment,Americas
Hunter-NYC_2011,Environment,Americas
Harvard_2011,Foundational Advance,Americas
GeorgiaTech_2011,New Application,Americas
Grinnell_2011,Manufacturing,Americas
Gaston_Day_School_2011,Environment,Americas
GeorgiaState_2011,Manufacturing,Americas
Duke_2011,New Application,Americas
Cornell_2011,Manufacturing,Americas
Columbia-Cooper_2011,Manufacturing,Americas
Caltech_2011,Environment,Americas
Colombia_2011,Environment,Americas
Calgary_2011,Environment,Americas
BYU_Provo_2011,Information Processing,Americas
BU_Wellesley_Software_2011,Software Tools,Americas
Brown-Stanford_2011,New Application,Americas
British_Columbia_2011,Manufacturing,Americas
Berkeley_2011,New Application,Americas
Bard-Annandale_2011,Information Processing,Americas
Arizona_State_2011,New Application,Americas
Baltimore_2011,New Application,Americas
Yale_2010,Manufacturing,US
Alberta_2011,Food & Energy,Americas
Wisconsin-Madison_2010,Health & Medicine,US
WashU_2010,Foundational Advance,US
VT-ENSIMAG_Biosecurity_2010,Software Tools,US
Washington_2010,Health & Medicine,US
Virginia_United_2010,Information Processing,US
UTDallas_2010,Environment,US
Utah_State_2010,Manufacturing,US
UIUC-Illinois-Software_2010,Software Tools,US
UIUC-Illinois_2010,Information Processing,US
UC_Davis_2010,Manufacturing,US
UCSF_2010,Health & Medicine,US
The_Citadel-Charleston_2010,Health & Medicine,US
Purdue_2010,Food & Energy,US
Stanford_2010,Foundational Advance,US
Penn_State_2010,Food & Energy,US
NYU_2010,Foundational Advance,US
Northwestern_2010,Manufacturing,US
Nevada_2010,Environment,US
Missouri_Miners_2010,Food & Energy,US
MIT_2010,Manufacturing,US
Minnesota_2010,New Application,US
Johns_Hopkins_2010,New Application,US
Michigan_2010,Environment,US
IvyTech-South_Bend_2010,Environment,US
Indiana_2010,Undefined,US
Harvard_2010,Food & Energy,US
Georgia_State_2010,Foundational Advance,US
GeorgiaTech_2010,Manufacturing,US
Cornell_2010,Health & Medicine,US
Gaston_Day_School_2010,Environment,US
Duke_2010,Foundational Advance,US
Caltech_2010,Manufacturing,US
Davidson-MissouriW_2010,Foundational Advance,US
Brown_2010,Manufacturing,US
Berkeley_2010,New Application,US
Baltimore_US_2010,Manufacturing,US
UNAM-Genomics_Mexico_2010,Information Processing,Latin America
Tec-Monterrey_2010,Environment,Latin America
Panama_2010,Environment,Latin America
Mexico-UNAM-CINVESTAV_2010,Food & Energy,Latin America
Weimar-Heidelberg_Arts_2010,New Application,Europe
Warsaw_2010,Foundational Advance,Europe
Uppsala-Sweden_2010,Health & Medicine,Europe
Valencia_2010,Food & Energy,Europe
UPO-Sevilla_2010,New Application,Europe
ULB-Brussels_2010,Food & Energy,Europe
TU_Munich_2010,Foundational Advance,Europe
ULB-Brussels_2010,Food & Energy,Europe
UCL_London_2010,Manufacturing,Europe
TU_Delft_2010,Environment,Europe
St_Andrews_2010,Health & Medicine,Europe
Stockholm_2010,Health & Medicine,Europe
Sheffield_2010,Environment,Europe
Slovenia_2010,New Application,Europe
Paris_Liliane_Bettencourt_2010,Foundational Advance,Europe
SDU-Denmark_2010,New Application,Europe
Newcastle_2010,Manufacturing,Europe
METU_Turkey_Software_2010,Software Tools,Europe
METU_Turkey_2010,New Application,Europe
LMU-Munich_2010,Foundational Advance,Europe
INSA-Lyon_2010,Manufacturing,Europe
Imperial_College_London_2010,Health & Medicine,Europe
Gothenburg-Sweden_2010,Undefined,Europe
Heidelberg_2010,Health & Medicine,Europe
Groningen_2010,New Application,Europe
Freiburg_Software_2010,Software Tools,Europe
ETHZ_Basel_2010,Information Processing,Europe
ESBS-Strasbourg_2010,Foundational Advance,Europe
Freiburg_Bioware_2010,Health & Medicine,Europe
EPF_Lausanne_2010,Health & Medicine,Europe
DTU-Denmark_2010,Foundational Advance,Europe
DTU-Denmark_2010,Foundational Advance,Europe
Debrecen-Hungary_2010,Food & Energy,Europe
Cambridge_2010,New Application,Europe
BIOTEC_Dresden_2010,Health & Medicine,Europe
Bielefeld-Germany_2010,Food & Energy,Europe
BCCS-Bristol_2010,Food & Energy,Europe
Aberdeen_Scotland_2010,New Application,Europe
VictoriaBC_2010,Information Processing,Canada
Waterloo_2010,Health & Medicine,Canada
WesternU-Research_Ontario_2010,Undefined,Canada
uOttawa_2010,Foundational Advance,Canada
Toronto_2010,Environment,Canada
Lethbridge_2010,Environment,Canada
Queens-Canada_2010,Foundational Advance,Canada
Calgary_2010,Foundational Advance,Canada
British_Columbia_2010,Foundational Advance,Canada
Alberta_2010,Foundational Advance,Canada
ZJU-China_2010,Software Tools,Asia
XMU-China_2010,Undefined,Asia
UT-Tokyo_2010,Information Processing,Asia
USTC_Software_2010,Software Tools,Asia
UQ_Australia_2010,Undefined,Asia
USTC_2010,Manufacturing,Asia
TzuChiU_Formosa_2010,Food & Energy,Asia
Tsinghua_2010,New Application,Asia
Tokyo_Tech_2010,Information Processing,Asia
Tokyo-NoKoGen_2010,New Application,Asia
Tokyo_Metropolitan_2010,Manufacturing,Asia
SJTU-Oncology-Shanghai_2010,Undefined,Asia
Tianjin_2010,Environment,Asia
SJTU-BioX-Shanghai_2010,Health & Medicine,Asia
RMIT_Australia_2010,Health & Medicine,Asia
Peking_2010,Environment,Asia
Osaka_2010,Environment,Asia
NYMU-Taipei_2010,New Application,Asia
NCTU_Formosa_2010,Environment,Asia
Monash_Australia_2010,Manufacturing,Asia
Macquarie_Australia_2010,New Application,Asia
Korea_U_Seoul_2010,Environment,Asia
Kyoto_2010,Foundational Advance,Asia
KAIST-Korea_2010,Health & Medicine,Asia
KIT-Kyoto_2010,New Application,Asia
IIT_Madras_2010,Food & Energy,Asia
IIT_Delhi_1_2010,New Application,Asia
IITBombay_2010,Undefined,Asia
IBB-Pune_2010,Undefined,Asia
Hong_Kong-CUHK_2010,New Application,Asia
HKUST_2010,Health & Medicine,Asia
HKUST_2010,Health & Medicine,Asia
HKU-Hong_Kong_2010,Manufacturing,Asia
ECUST-Shanghai_2010,Undefined,Asia
Fudan-Shanghai_2010,Undefined,Asia
Chiba_2010,New Application,Asia
CBNU-Korea_2010,Foundational Advance,Asia
ArtScienceBangalore_2010,New Application,Asia
Wisconsin-Madison_2009,Food/Energy,US
Wash_U_2009,Food/Energy,US
Washington-Software_2009,Software Tools,US
Washington_2009,Manufacturing,US
Virginia_Commonwealth_2009,Foundational Advance,US
Virginia_2009,Environment,US
Utah_State_2009,Manufacturing,US
UNC_Chapel_Hill_2009,Undefined,US
UC_Davis_2009,New Application,US
UChicago_2009,Environment,US
UCSF_2009,Health/Medicine,US
Rice_2009,Undefined,US
Purdue_2009,Health/Medicine,US
Stanford_2009,Health/Medicine,US
NYU_2009,Undefined,US
Nevada_2009,Health/Medicine,US
MoWestern_Davidson_2009,Information Processing,US
MIT_2009,Foundational Advance,US
Missouri_Miners_2009,Food/Energy,US
Minnesota_2009,Software Tools,US
Michigan_2009,Environment,US
Johns_Hopkins_2009,Undefined,US
Johns_Hopkins-BAG_2009,New Application,US
Indiana_2009,Foundational Advance,US
Illinois-Tools_2009,Software Tools,US
Illinois_2009,Information Processing,US
Gaston_Day_School_2009,Environment,US
Harvard_2009,New Application,US
Duke_2009,Manufacturing,US
Cornell_2009,Environment,US
CityColSanFrancisco_2009,Food/Energy,US
BrownTwo_2009,Undefined,US
Brown_2009,Health/Medicine,US
Bay_Area_RSI_2009,Health/Medicine,US
Berkeley_Wetlab_2009,Foundational Advance,US
UNICAMP-Brazil_2009,Food/Energy,Latin America
Berkeley_Software_2009,Software Tools,US
LCG-UNAM-Mexico_2009,New Application,Latin America
IPOC1-Colombia_2009,Environment,Latin America
IPOC1-Colombia_2009,Environment,Latin America
IPN-UNAM-Mexico_2009,Foundational Advance,Latin America
Warsaw_2009,Health/Medicine,Europe
Valencia_2009,New Application,Europe
ULB-Brussels_2009,Manufacturing,Europe
UNIPV-Pavia_2009,Food/Energy,Europe
Uppsala-Sweden_2009,Food/Energy,Europe
UCL_London_2009,Foundational Advance,Europe
UAB-Barcelona_2009,Environment,Europe
TU_Munich_2009,Undefined,Europe
TUDelft_2009,Information Processing,Europe
Sweden_2009,Information Processing,Europe
Southampton_2009,Information Processing,Europe
SupBiotech-Paris_2009,Health/Medicine,Europe
Slovenia_2009,Manufacturing,Europe
SDU-Denmark_2009,Health/Medicine,Europe
Sheffield_2009,Foundational Advance,Europe
Newcastle_2009,Environment,Europe
Paris_2009,Foundational Advance,Europe
METU-Gene_2009,Health/Medicine,Europe
Heidelberg_2009,Foundational Advance,Europe
Imperial College London_2009,Manufacturing,Europe
Groningen_2009,Environment,Europe
KULeuven_2009,Manufacturing,Europe
Freiburg_software_2009,Software Tools,Europe
Freiburg_bioware_2009,Foundational Advance,Europe
EPF-Lausanne_2009,Foundational Advance,Europe
ESBS-Strasbourg_2009,Undefined,Europe
DTU_Denmark_2009,Manufacturing,Europe
Edinburgh_2009,Environment,Europe
Cambridge_2009,Environment,Europe
Bologna_2009,Foundational Advance,Europe
BCCS-Bristol_2009,Foundational Advance,Europe
BIOTEC_Dresden_2009,Manufacturing,Europe
Amsterdam_2009,Undefined,Europe
Aberdeen_Scotland_2009,New Application,Europe
Waterloo_2009,Foundational Advance,Canada
VictoriaBC_2009,Manufacturing,Canada
uOttawa_2009,Health/Medicine,Canada
TorontoMaRSDiscovery_2009,New Application,Canada
Queens_2009,Health/Medicine,Canada
Lethbridge_2009,Foundational Advance,Canada
McGill_2009,New Application,Canada
Calgary_2009,Foundational Advance,Canada
British_Columbia_2009,Foundational Advance,Canada
Alberta_2009,Foundational Advance,Canada
Victoria_Australia_2009,Manufacturing,Asia
USTC_2009,Foundational Advance,Asia
USTC_Software_2009,Software Tools,Asia
UQ-Australia_2009,Environment,Asia
TzuChiU_Formosa_2009,Food/Energy,Asia
Tsinghua_2009,Health/Medicine,Asia
Tokyo_Tech_2009,Environment,Asia
Tokyo-Nokogen_2009,Manufacturing,Asia
Todai-Tokyo_2009,Health/Medicine,Asia
Tianjin_2009,Environment,Asia
SJTU-BioX-Shanghai_2009,Information Processing,Asia
PKU_Beijing_2009,Information Processing,Asia
Osaka_2009,New Application,Asia
NYMU-Taipei_2009,Health/Medicine,Asia
NTU-Singapore_2009,Health/Medicine,Asia
NCTU_Formosa_2009,New Application,Asia
Kyoto_2009,Foundational Advance,Asia
KU_Seoul_2009,Environment,Asia
IIT_Madras_2009,New Application,Asia
IIT_Bombay_India_2009,Foundational Advance,Asia
IGIB-Delhi_2009,Undefined,Asia
HKUST_2009,New Application,Asia
IBB_Pune_2009,Information Processing,Asia
HKU-HKBU_2009,Manufacturing,Asia
Chiba_2009,Manufacturing,Asia
ArtScienceBangalore_2009,New Application,Asia
CBNU-Korea_2009,Software Tools,Asia
Wisconsin_2008,Undefined,US
Virginia_2008,Undefined,US
Utah_State_2008,Undefined,US
University_of_Washington_2008,Undefined,US
University_of_Chicago_2008,Undefined,US
UC_Berkeley_Tools_2008,Undefined,US
UC_Berkeley_2008,Undefined,US
Rensselaer_2008,Undefined,US
UCSF_2008,Undefined,US
Rensselaer_2008,Undefined,US
Purdue_2008,Undefined,US
Polytech_2008,Undefined,US
Prairie_View_2008,Undefined,US
PennState_2008,Undefined,US
Missouri_Miners_2008,Undefined,US
MIT_2008,Undefined,US
Mississippi_State_2008,Undefined,US
Minnesota_2008,Undefined,US
Michigan_2008,Undefined,US
Johns_Hopkins_2008,Undefined,US
Illinois_2008,Undefined,US
Hawaii_2008,Undefined,US
Harvard_2008,Undefined,US
Gaston Day School_2008,Undefined,US
Duke_2008,Undefined,US
Davidson-Missouri_Western_2008,Undefined,US
Caltech_2008,Undefined,US
BrownTwo_2008,Undefined,US
Brown_2008,Undefined,US
Bay_Area_RSI_2008,Undefined,US
Peru_2008,Undefined,Latin America
Mexico-UNAM-IPN_2008,Undefined,Latin America
LCG-UNAM-Mexico_2008,Undefined,Latin America
Colombia_2008,Undefined,Latin America
Warsaw_2008,Undefined,Europe
Valencia_2008,Undefined,Europe
University_of_Sheffield_2008,Undefined,Europe
TU_Munchen_2008,Undefined,Europe
UNIPV-Pavia_2008,Undefined,Europe
Sofia_BG_2008,Undefined,Europe
Slovenia_2008,Undefined,Europe
Paris_2008,Undefined,Europe
TUDelft_2008,Undefined,Europe
Newcastle_University_2008,Undefined,Europe
LED_2008,Undefined,Europe
METU_Turkey_2008,Undefined,Europe
Istanbul_2008,Undefined,Europe
KULeuven_2008,Undefined,Europe
Imperial_College_2008,Undefined,Europe
Heidelberg_2008,Undefined,Europe
Groningen_2008,Undefined,Europe
Freiburg_2008,Undefined,Europe
ETH_Zurich_2008,Undefined,Europe
ESBS-Strasbourg_2008,Undefined,Europe
EPF-Lausanne_2008,Undefined,Europe
Edinburgh_2008,Undefined,Europe
Cambridge_2008,Undefined,Europe
Bologna_2008,Undefined,Europe
BCCS-Bristol_2008,Undefined,Europe
University_of_Ottawa_2008,Undefined,Canada
Waterloo_2008,Undefined,Canada
University_of_Lethbridge_2008,Undefined,Canada
Toronto_Bluegenes_2008,Undefined,Canada
University_of_Alberta_2008,Undefined,Canada
Montreal_2008,Undefined,Canada
Lethbridge_CCS_2008,Undefined,Canada
Guelph_2008,Undefined,Canada
Calgary_Wetware_2008,Undefined,Canada
Calgary_Software_2008,Undefined,Canada
Alberta_NINT_2008,Undefined,Canada
WEGO_Taipei_2008,Undefined,Asia
Calgary_Ethics_2008,Undefined,Canada
Tsinghua_2008,Undefined,Asia
Tokyo_Tech_2008,Undefined,Asia
USTC_2008,Undefined,Asia
Tianjin_2008,Undefined,Asia
Peking_University_2008,Undefined,Asia
NTU-Singapore_2008,Undefined,Asia
NYMU-Taipei_2008,Undefined,Asia
Kyoto_2008,Undefined,Asia
Melbourne_2008,Undefined,Asia
IIT_Madras_2008,Undefined,Asia
iHKU_2008,Undefined,Asia
HKUSTers_2008,Undefined,Asia
CPU-NanJing_2008,Undefined,Asia
Chiba_2008,Undefined,Asia
Beijing_Normal_2008,Undefined,Asia
Cape_Peninsula_2007,Undefined,--Specify Region--
Boston_University_2007,Energy,--Specify Region--
Bologna_2007,Foundational Research,--Specify Region--
Wisconsin_2007,Foundational Research,US
Virginia_Tech_2007,Medical,US
Virginia_2007,Energy,US
Southern_Utah_2007,Environment,US
UCSF_2007,Information Processing,US
Saint_Petersburg_2007,Environment,US
Rice_2007,Medical,US
Purdue_2007,Foundational Research,US
Princeton_2007,Medical,US
Penn_State_2007,Energy,US
Prairie_View_2007,Environment,US
Minnesota_2007,Undefined,US
Michigan_2007,Foundational Research,US
Mississippi_State_2007,Energy,US
Harvard_2007,Foundational Research,US
Duke_2007,Foundational Research,US
Davidson_Missouri_W_2007,Information Processing,US
chicago_2007,Undefined,US
Caltech_2007,Foundational Research,US
Brown_2007,Environment,US
Berkeley_UC_2007,Medical,US
Berkeley_LBL_2007,Energy,US
Bay_Area_RSI_2007,Medical,US
Mexico_2007,Information Processing,Latin America
Colombia_Israel_2007,Environment,Latin America
Valencia_2007,Foundational Research,Europe
Freiburg_2007,Foundational Research,Europe
Imperial_2007,Medical,Europe
Paris_2007,Foundational Research,Europe
ETHZ_2007,Information Processing,Europe
Edinburgh_2007,Foundational Research,Europe
Cambridge_2007,Foundational Research,Europe
McGill_2007,Foundational Research,Canada
Waterloo_2007,Information Processing,Canada
Toronto_2007,Information Processing,Canada
Lethbridge_2007,Environment,Canada
Calgary_2007,Foundational Research,Canada
Alberta_2007,Energy,Canada
Tokyo_Tech_2007,Foundational Research,Asia
Tsinghua_2007,Information Processing,Asia
USTC_2007,Information Processing,Asia
Tianjin_2007,Information Processing,Asia
Peking_2007,Information Processing,Asia
CPU_2007,Undefined,Asia
Melbourne_2007,Medical,Asia
Chiba_2007,Foundational Research,Asia
