team_year,track,region
Hannover_2014,Environment,Europe
Groningen_2014,Health & Medicine,Europe
Gothenburg_2014,Foundational Advance,Europe
Heidelberg_2014,Foundational Advance,Europe
Goettingen_2014,Health & Medicine,Europe
Glasgow_2014,New Application,Europe
Freiburg_2014,New Application,Europe
Exeter_2014,Environment,Europe
Evry_2014,Environment,Europe
ETH_Zurich_2014,Information Processing,Europe
Edinburgh_2014,Foundational Advance,Europe
Dundee_2014,Health & Medicine,Europe
CONGO_RD-NPS_2014,Undefined,Europe
EPF_Lausanne_2014,New Application,Europe
DTU-Denmark_2014,Measurement,Europe
Cambridge-JIC_2014,New Application,Europe
Braunschweig_2014,Environment,Europe
Bordeaux_2014,Manufacturing,Europe
Bielefeld-CeBiTec_2014,Energy,Europe
BGU_Israel_2014,Health & Medicine,Europe
Berlin_2014,New Application,Europe
Baskent-Meds_2014,Undefined,Europe
ATOMS-Turkiye_2014,Health & Medicine,Europe
AMU-Poznan_2014,Software,Europe
Aix-Marseille_2014,Foundational Advance,Europe
Aberdeen_Scotland_2014,Health & Medicine,Europe
Aalto-Helsinki_2014,Entrepreneurship,Europe
Zhejiang-leap_2014,Undefined,Asia
ZJU-China_2014,Foundational Advance,Asia
YZU_China_2014,Undefined,Asia
Aachen_2014,Measurement,Europe
XMUXA-China_2014,Undefined,Asia
XMU-China_2014,Foundational Advance,Asia
WHU-China_2014,Environment,Asia
WHU-Pharm_2014,Health & Medicine,Asia
UT-Tokyo_2014,Information Processing,Asia
USyd-Australia_2014,Foundational Advance,Asia
UST_Beijing_2014,Art & Design,Asia
USTC-Software_2014,Software,Asia
USTC-China_2014,New Application,Asia
UI-Indonesia_2014,Health & Medicine,Asia
UESTC-Software_2014,Software,Asia
UB_Indonesia_2014,Health & Medicine,Asia
Tsinghua-A_2014,Foundational Advance,Asia
Tongji_2014,Manufacturing,Asia
Tokyo_Tech_2014,Information Processing,Asia
Tsinghua_2014,Health & Medicine,Asia
UESTC-China_2014,Environment,Asia
Tianjin_2014,Information Processing,Asia
TCU_Taiwan_2014,Environment,Asia
SZU-China_2014,Environment,Asia
SYSU-Software_2014,Software,Asia
SYSU-China_2014,New Application,Asia
SUSTC-Shenzhen_2014,Health & Medicine,Asia
Sumbawagen_2014,Measurement,Asia
SJTU-Software_2014,Software,Asia
SJTU-BioX-Shanghai_2014,Foundational Advance,Asia
SCUT-China_2014,Manufacturing,Asia
Tokyo-NoKoGen_2014,Environment,Asia
SCUT_2014,Foundational Advance,Asia
SCU-China_2014,Information Processing,Asia
SCAU-China_2014,Energy,Asia
Peking_2014,Environment,Asia
OUC-China_2014,New Application,Asia
NYMU-Taipei_2014,Health & Medicine,Asia
NU_Kazakhstan_2014,Measurement,Asia
NUDT_CHINA_2014,Information Processing,Asia
NTU_Taida_2014,Health & Medicine,Asia
Nextomics_2014,Undefined,Asia
NJU-QIBEBT_2014,Energy,Asia
NJAU_China_2014,Environment,Asia
NEAU-Harbin_2014,Foundational Advance,Asia
NEFU_China_2014,Environment,Asia
NCTU_Formosa_2014,Environment,Asia
Nankai_2014,Energy,Asia
Nagahama_2014,New Application,Asia
Nanjing-China_2014,Environment,Asia
Melbourne_2014,Manufacturing,Asia
Macquarie_Australia_2014,Energy,Asia
LZU-China_2014,Measurement,Asia
Kyoto_2014,Foundational Advance,Asia
Korea_U_Seoul_2014,New Application,Asia
KIT-Kyoto_2014,Art & Design,Asia
KIT-Kanazawa_2014,Energy,Asia
KAIT_JAPAN_2014,Health & Medicine,Asia
Jilin_China_2014,Environment,Asia
IIT_Delhi_2014,Environment,Asia
ITB_Indonesia_2014,Environment,Asia
HZAU-China_2014,Information Processing,Asia
HUST-Innovators_2014,New Application,Asia
HUST-China_2014,Environment,Asia
Hong_Kong_HKU_2014,Environment,Asia
Hong_Kong_HKUST_2014,Health & Medicine,Asia
Hong_Kong-CUHK_2014,New Application,Asia
HokkaidoU_Japan_2014,Foundational Advance,Asia
HNU_China_2014,Environment,Asia
HIT-Harbin_2014,Environment,Asia
HFUT_CHINA_2014,Software,Asia
Gifu_2014,New Application,Asia
Fudan_2014,Health & Medicine,Asia
catas_2014,Undefined,Asia
CityU_HK_2014,Health & Medicine,Asia
BUCT-China_2014,Environment,Asia
CAU_China_2014,New Application,Asia
BJFU_CHINA_2014,Undefined,Asia
BNU-China_2014,Environment,Asia
BIT_2014,Measurement,Asia
BIT-China_2014,New Application,Asia
Auckland_New_Zealand_2014,Health & Medicine,Asia
AHUT_China_2014,Information Processing,Asia
WLC-Milwaukee_2013,Food & Energy,North America
Wisconsin-Madison_2013,Manufacturing,North America
Wellesley_Desyne_2013,Software Tools,North America
Waterloo_2013,Foundational Advance,North America
WashU_StLouis_2013,Environment,North America
Washington_2013,New Application,North America
Virginia_2013,Foundational Advance,North America
UTK-Knoxville_2013,Environment,North America
UT_Dallas_2013,Health & Medicine,North America
UIUC_Illinois-Software_2013,Software Tools,North America
Utah_State_2013,Manufacturing,North America
uOttawa_2013,New Application,North America
UGA-Georgia_2013,Food & Energy,North America
UGA-Georgia_2013,Food & Energy,North America
UGA-Georgia_2013,Food & Energy,North America
UC_Davis_2013,Foundational Advance,North America
UCLA_2013,Foundational Advance,North America
UCSF_2013,Foundational Advance,North America
UChicago_2013,Environment,North America
UC-Merced_2013,Undefined,North America
